H,samples_per_path,baseline_p50_ms,vshard2_p2_p50_ms,vshard4_p1_p50_ms,vshard4_p2_p50_ms,vshard2_p2_over_vshard4_p2_p50_x,vshard4_p2_faster_than_vshard2_p2,vshard2_p2_p95_ms,vshard4_p2_p95_ms,vshard2_p2_p99_ms,vshard4_p2_p99_ms,extension_sha256,source_json,source_json_sha256
22,500,0.8274880051612854,0.6246079802513123,0.6206079721450806,0.5569919943809509,1.1213948971484065,True,0.6275200247764587,0.5602896124124527,0.6385782372951507,0.5697072088718415,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h22_bf16_cyclic.json,e6984e50bd4845adba2db26127f403b0099016fd8e35d9acacc0f94ef3b4d5ed
23,500,0.8324640095233917,0.6277920007705688,0.6234079897403717,0.5593120157718658,1.1224361055504928,True,0.633097591996193,0.5642640113830566,0.6439971059560775,0.5696390336751938,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h23_bf16_cyclic.json,8d53e5f8511f50438b3299fc99c77e28ac428269cc6b1ed572a2a475058df3e8
24,500,0.8329280018806458,0.6291039884090424,0.6255200207233429,0.5616000294685364,1.1201993507806394,True,0.6336496055126191,0.5656367868185044,0.6445456051826477,0.5703094166517257,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h24_bf16_cyclic.json,74a7b415bbbafebfc9efe5eed2a706cdf0a1d6565c65048fcf03ec30b4ba2d4f
25,500,0.8368960022926331,0.6328639984130859,0.6287360191345215,0.5650240182876587,1.1200656572635985,True,0.636963227391243,0.5696976095438003,0.6424534147977828,0.573632001876831,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h25_bf16_cyclic.json,9118c25f3ff6410ca6b84e47a888ad81e36695574080e2a8a9d1c15d625a5f93
26,500,0.8400639891624451,0.6343840062618256,0.6317600011825562,0.5682880282402039,1.1163071800514586,True,0.647758400440216,0.5808047980070115,0.656398071050644,0.5858739399909973,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h26_bf16_cyclic.json,3ea88f739cca4167b484f42f18588b75db382efd3786824efadac1285deb5726
27,500,0.8417919874191284,0.6368319988250732,0.6342080235481262,0.5702400207519531,1.1167788574104425,True,0.6512640118598938,0.5824464231729507,0.6566169458627701,0.5875539308786393,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h27_bf16_cyclic.json,2a9d9a8398e21e6c88b6d9bf6f0127971a70d628b6ab862ba525d72fbf53ce6d
28,500,0.8447039723396301,0.6400479972362518,0.636352002620697,0.5726400017738342,1.1177144370871956,True,0.642848014831543,0.5752959847450256,0.6466591769456863,0.5826009702682495,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h28_bf16_cyclic.json,65fdd6b20eaa4cd7673e57e6b7d389de35cd39d2649f2ad6a7b7af1fc3127544
29,500,0.8494559824466705,0.6450720131397247,0.6407359838485718,0.5767679810523987,1.118425492279747,True,0.657900795340538,0.5890960216522216,0.6623532718420029,0.5942982572317124,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h29_bf16_cyclic.json,22378fa7826c8e958dea09061f8b51dd20469caae6cbf4d01d9e872e7231b874
30,500,0.851360023021698,0.6468799710273743,0.6438720226287842,0.5789759755134583,1.1172829243107991,True,0.649180781841278,0.5823360085487366,0.6541551893949509,0.5863120090961457,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h30_bf16_cyclic.json,4d85225c56d5831755862e5dd3306f18f96fb080a215f0d8eb2fc17323b9550e
31,500,0.8540480136871338,0.6488639712333679,0.6449759900569916,0.5810239911079407,1.1167593441297747,True,0.6536655932664871,0.5851631730794906,0.6583372640609741,0.592840348482132,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h31_bf16_cyclic.json,53151dcc28e47fe58bc666f886187a8b0fd13c85f52d0fdd7149b8e4b10a2958
