1788083951191155977,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 615 MHz, 3996 MHz, 223.01 W, 35, 1100.00 W
1788083951420621954,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 457 MHz, 3996 MHz, 210.07 W, 35, 1100.00 W
1788083951650671790,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 315 MHz, 3996 MHz, 196.43 W, 35, 1100.00 W
1788083951878966563,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 200.59 W, 36, 1100.00 W
1788083952107238766,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 212.85 W, 36, 1100.00 W
1788083952334959993,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 226.43 W, 36, 1100.00 W
1788083952562436030,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 240.62 W, 36, 1100.00 W
1788083952786814604,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.43 W, 36, 1100.00 W
1788083953014963777,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.70 W, 36, 1100.00 W
1788083953238941922,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.52 W, 36, 1100.00 W
1788083953462062192,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.94 W, 36, 1100.00 W
1788083953687677878,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.02 W, 36, 1100.00 W
1788083953913606443,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.97 W, 36, 1100.00 W
1788083954138772701,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.06 W, 36, 1100.00 W
1788083954364008510,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.09 W, 36, 1100.00 W
1788083954587613796,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.02 W, 36, 1100.00 W
1788083954812487266,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.06 W, 36, 1100.00 W
1788083955037227336,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.13 W, 36, 1100.00 W
1788083955264892381,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.17 W, 36, 1100.00 W
1788083955489683141,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.13 W, 36, 1100.00 W
1788083955714389761,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.06 W, 36, 1100.00 W
1788083955938929332,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.09 W, 36, 1100.00 W
1788083956163959561,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.93 W, 36, 1100.00 W
1788083956390580620,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.94 W, 36, 1100.00 W
1788083956617284999,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.94 W, 36, 1100.00 W
1788083956842635276,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.90 W, 36, 1100.00 W
1788083957070754998,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 272.43 W, 38, 1100.00 W
1788083957299418237,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 301.79 W, 38, 1100.00 W
1788083957526164206,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 328.86 W, 38, 1100.00 W
1788083957755791321,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 359.31 W, 38, 1100.00 W
1788083957982902037,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.95 W, 39, 1100.00 W
1788083958208023984,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 378.85 W, 39, 1100.00 W
1788083958434647183,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 378.92 W, 39, 1100.00 W
1788083958661704689,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 378.84 W, 39, 1100.00 W
1788083958888362868,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.19 W, 39, 1100.00 W
1788083959116719698,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.16 W, 39, 1100.00 W
1788083959343608996,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.31 W, 39, 1100.00 W
1788083959569120850,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.16 W, 39, 1100.00 W
1788083959795090112,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 381.12 W, 39, 1100.00 W
1788083960020280647,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 381.03 W, 39, 1100.00 W
1788083960246346468,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 381.13 W, 39, 1100.00 W
1788083960471299665,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 381.69 W, 39, 1100.00 W
1788083960696321840,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.44 W, 39, 1100.00 W
1788083960922035014,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.17 W, 39, 1100.00 W
1788083961147893195,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.51 W, 39, 1100.00 W
1788083961373385009,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.52 W, 39, 1100.00 W
1788083961598628264,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.69 W, 39, 1100.00 W
1788083961825864338,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.50 W, 39, 1100.00 W
1788083962052175817,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 359.27 W, 38, 1100.00 W
1788083962280461206,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 330.24 W, 37, 1100.00 W
1788083962508331356,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 302.76 W, 37, 1100.00 W
1788083962733748669,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 269.53 W, 37, 1100.00 W
1788083962966448366,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.72 W, 37, 1100.00 W
